Country Name;Country Code;Series Name;Series Code;2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023 [YR2023];
Argentina;ARG;Adolescent fertility rate (births per 1,000 women ages 15-19);SP.ADO.TFRT;66.613;63.879;58.79;55.022;49.926;41.751;31.492;28.54;25.767;..;
Argentina;ARG;Agriculture, forestry, and fishing, value added (% of GDP);NV.AGR.TOTL.ZS;6.712703514;5.156685902;6.26456582;5.231622377;4.537878897;5.318555997;6.357033676;7.291282496;6.638296975;5.929853762;
Argentina;ARG;Annual freshwater withdrawals, total (% of internal resources);ER.H2O.FWTL.ZS;12.90753425;12.90753425;12.90753425;12.90753425;12.90753425;12.90753425;12.90753425;12.90753425;..;..;
Argentina;ARG;Births attended by skilled health staff (% of total);SH.STA.BRTC.ZS;99.6;99.6;98.4;93.9;99.5;99.6;98.8;..;..;..;
Argentina;ARG;Contraceptive prevalence, any method (% of married women ages 15-49);SP.DYN.CONU.ZS;..;..;..;..;..;..;70.1;..;..;..;
Argentina;ARG;Domestic credit provided by financial sector (% of GDP);FS.AST.DOMS.GD.ZS;34.43213957;40.42762794;37.93224826;38.86839839;..;..;..;..;..;..;
Argentina;ARG;Electric power consumption (kWh per capita);EG.USE.ELEC.KH.PC;3049.362763;..;..;..;..;..;..;..;..;..;
Argentina;ARG;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;2013.193777;..;..;..;..;..;..;..;..;..;
Argentina;ARG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14.40547859;10.70565205;12.52709517;11.32028336;14.43668575;17.92487838;16.60541444;18.06670917;16.24801444;12.74924578;
Argentina;ARG;External debt stocks, total (DOD, current US$);DT.DOD.DECT.CD;1.56381E+11;1.87973E+11;1.91718E+11;2.36684E+11;2.96727E+11;2.99354E+11;2.75475E+11;2.6676E+11;2.669E+11;2.66167E+11;
Argentina;ARG;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;2.312;2.301;2.241;2.168;2.039;1.994;1.911;1.885;1.876;..;
Argentina;ARG;Foreign direct investment, net inflows (BoP, current US$);BX.KLT.DINV.CD.WD;5065335542;11758994011;3260164342;11516861462;11716769819;6649187838;4884127676;6658049679;15200600518;23866141440;
Argentina;ARG;Forest area (sq. km);AG.LND.FRST.K2;293204;290970;290100;288990;287910;286810;285730;284636.667;283552.222;..;
Argentina;ARG;GDP (current US$);NY.GDP.MKTP.CD;5.2632E+11;5.94749E+11;5.57532E+11;6.43628E+11;5.2482E+11;4.47755E+11;3.85741E+11;4.86564E+11;6.3279E+11;6.46075E+11;
Argentina;ARG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-2.512615321;2.731159828;-2.080327844;2.818502978;-2.617396463;-2.000861003;-9.900484814;10.44181199;5.269879674;-1.611001621;
Argentina;ARG;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;12240;12500;12130;13070;12390;11210;9040;10070;11820;12890;
Argentina;ARG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;19090;19530;19660;22790;23540;22590;21790;25770;29050;29460;
Argentina;ARG;GNI, Atlas method (current US$);NY.GNP.ATLS.CD;5.26785E+11;5.4328E+11;5.32504E+11;5.78798E+11;5.53193E+11;5.04056E+11;4.08629E+11;4.56257E+11;5.36801E+11;5.86901E+11;
Argentina;ARG;GNI, PPP (current international $);NY.GNP.MKTP.PP.CD;8.21244E+11;8.4896E+11;8.63207E+11;1.00926E+12;1.05115E+12;1.01609E+12;9.84724E+11;1.16782E+12;1.31928E+12;1.3416E+12;
Argentina;ARG;Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;17.26288101;17.07070488;17.66322786;18.21256717;16.61388502;14.2100304;14.41515574;18.07628925;17.27979846;19.37153901;
Argentina;ARG;High-technology exports (% of manufactured exports);TX.VAL.TECH.MF.ZS;7.061134904;9.22572828;8.98239948;9.20544177;5.402984101;5.212790589;6.903889256;4.422891393;4.751575243;5.449594406;
Argentina;ARG;Immunization, measles (% of children ages 12-23 months);SH.IMM.MEAS;95;89;90;89;94;86;77;86;85;80;
Argentina;ARG;Imports of goods and services (% of GDP);NE.IMP.GNFS.ZS;14.00131506;11.78057404;13.56679268;13.96931778;16.32585021;14.70573667;13.59828437;15.0119804;15.29969356;13.89126635;
Argentina;ARG;Income share held by lowest 20%;SI.DST.FRST.20;5;..;4.9;5;4.9;4.6;4.7;5;5.4;..;
Argentina;ARG;Industry (including construction), value added (% of GDP);NV.IND.TOTL.ZS;24.27739449;23.15305614;22.05410721;21.78212322;23.71959233;23.15784774;22.40887637;23.49946443;24.00755278;25.05638161;
Argentina;ARG;Inflation, GDP deflator (annual %);NY.GDP.DEFL.KD.ZG;40.28297163;26.5799916;41.11937999;26.00637928;42.03366896;49.19557906;40.0830878;53.80208777;69.87608425;135.3688763;
Argentina;ARG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.755;76.76;76.308;76.833;76.999;77.284;75.892;75.39;76.064;..;
Argentina;ARG;Merchandise trade (% of GDP);TG.VAL.TOTL.GD.ZS;25.48641191;19.67030526;20.40455697;19.51141393;24.24889031;25.51397097;25.20865656;29.00296265;26.86025082;21.74715624;
Argentina;ARG;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0.878100924;0.850128597;0.809245363;0.847754811;0.732300348;0.699696134;0.734111594;0.630055382;0.686383404;0.472747197;
